dico1,medianctrl7
"Putrescine:Oxygen Oxidoreductase (Deaminating)",0
"Previtamin D3 Formation",0
"Pyridoxamine 5'-Phosphate Oxidase",0
"Pyridoxal Dehydrogenase",0
"Pyridoxal Kinase",2.38433906999461
"Pyridoxal 5-Phosphate Phosphatase",2.38433906999462
"Pyrimidine-Nucleoside Phosphorylase (Uracil)",0
"Pyruvate Mitochondrial Transport via Proton Symport",0
"Pyruvate Peroxisomal Transport via Proton Symport",43.1274087399361
"Quinolinate Synthase (Eukaryotic)",0
"Retinal Dehydrogenase",0
"Retinal Dehydrogenase (NADPH)",0
"Retinal Dehydrogenase",0
"Retinal Dehydrogenase (NADPH)",0
"Retinoic Acid Hydroxylation (P450)",0
"Retinal Isomerase (11-Cis)",0
"Retinal Isomerase (9-Cis)",0
"13-Cis-Retinoic Acid Isomerase",0
"13-Cis-4-Oxo-Retinoic Acid Isomerase",0
"Retinoate Transport, Nuclear",0
"13-Cis-Retinoic Acid Transport, Nuclear",0
"D-Ribulokinase",0
"Ribitol Transport via Passive Diffusion",0
"Retinol Dehydrogenase (All-Trans)",-432.799747991195
"Retinol Dehydrogenase (All-Trans, NADPH)",432.799747991195
"Retinol Dehydrogenase (9-Cis, NADH)",-19.3734201346274
"Retinol Dehydrogenase (9-Cis, NADPH)",19.3734201346253
"Retinol Dehydrogenase (11-Cis, NADH)",-105.474170244869
"Retinol Dehydrogenase (11-Cis, NADPH)",105.47417024487
"Retinol Dehydrogenase (13-Cis, NADH)",0
"Retinol Acyltransferase",0
"Fatty Acid Retinol Efflux",0
"Fatty Acid Retinol Efflux (9-Cis)",0
"Fatty Acid Retinol Efflux (11-Cis)",0
"Retinyl Ester Hydrolase",0
"Retinyl Ester Hydrolase (9-Cis)",0
"Retinyl Ester Hydrolase (9-Cis), Extracellular",0
"Retinyl Ester Hydrolase (11-Cis)",0
"Retinyl Ester Hydrolase (11-Cis), Extracellular",0
"Retinyl Ester Hydrolase, Extracellular",0
"Retinol Isomerase (11-Cis)",0
"Retinol Isomerase (9-Cis)",0
"Retinol Isomerase (13-Cis)",0
"Retinoyl Glucuronide Efflux",0
"Retinoyl Glucuronide Efflux (13-Cis)",0
"Retinoyl Glucuronide Efflux (13-Cis) from Er",0
"Retinoyl Glucuronide Efflux from Er",0
"Retinoic Acid Transport",0
"Retinoic Acid Transport in Er",0
"Retinoic Acid Transport in Er (13-Cis)",0
"Riboflavin Transport (ATP Dependent)",0
"Ribose Transport via Diffusion",0
"Ribose Transport in via Proton Symporter",0
"Ribosylnicotinamide Kinase",0
"Rtotal2 Transport",0
"Carnitine Fatty-Acyl Transferase",0
"R Group Transport into the Mitochondria",0
"R Group Transport into the Mitochondria",0
"Rtotal Transport",0
"Fatty Acid Intracellular Transport",-0.240925405034981
"Beta-Galactoside Alpha-2, 3-Sialyltransferase (Core 2)",0.079993796194261
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0.060819754565638
"Beta-Galactoside Alpha-2, 3-Sialyltransferase (T Antigen)",0
"Transport of Pa6, Lysosomal",0
"Transport of De-Fuc Form of Pa6, Lysosomal",0
"Chondroitin 2-Sulfotransferase, Golgi",0.0937141741040736
"Chondroitin 2-Sulfotransferase, Golgi",0.0937141741033847
"Uronyl 2-Sulfotransferase, Golgi",0.166451114985361
"Uronyl 2-Sulfotransferase, Golgi",0
"Iduronate-2-Sulfatase, Lysosomal",0
"Iduronate-2-Sulfatase, Lysosomal",0
"Iduronate-2-Sulfatase, Lysosomal",0
"Glucuronate-2-Sulfatase, Lysosomal",0.0937141741058075
"Glucuronate-2-Sulfatase, Lysosomal",0.0937141741072587
"Heparin-Glucosamine 3-O-Sulfotransferase",0
"Heparin-Glucosamine 3-O-Sulfotransferase",0
"Heparin-Glucosamine 3-O-Sulfotransferase",0
"N-Acetylglucosamine-3-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-3-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-3-Sulfatase, Lysosomal",0
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0.41392460435959
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0.0975134660301704
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0.0899693596854733
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0
"Chondroitin 4-Sulfotransferase, Golgi Apparatus",0.166451114986013
"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",0.0975134660324894
"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",0.0975134660293833
"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",0
"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",0.0899693596855153
"N-Acetylgalactosamine-4-Sulfatase, Lysosomal",0.0899693596854609
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0608197545626691
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0608197545651634
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0608197545638189
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0.330122179049017
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0799937961936641
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0.153783422618543
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0.0937141741027892
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0.0899693596846599
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0.0899693596862924
"Chondroitin 6-Sulfotransferase, Golgi Apparatus",0
"Heparan Sulfate 6-Sulfotransferase, Golgi Apparatus",0
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0799937961939408
"Galactose/N-Acetylglucosamine 6-O-Sulfotransferase, Golgi Apparatus",0.0799937961963788
"Galactose-6-Sulfate Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"Galactose-6-Sulfate Sulfatase, Lysosomal",0.0799937961974192
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0.0799937961954928
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0.178103966926311
"Galactose-6-Sulfate Sulfatase, Lysosomal",0.0608197545650848
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0.0608197545638838
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylglucosamine-6-Sulfatase, Lysosomal",0
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0.0937141741041295
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0.0937141741060428
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0.089969359685009
"N-Acetylgalactosamine-6-Sulfatase, Lysosomal",0.0899693596850929
"Saccharopine Dehydrogenase (NADP, L-Lysine Forming), Mitochondrial",0
"Saccharopine Dehydrogenase (NAD, L-Glutamate Forming), Mitochondrial",0
"Sulfate Adenylyltransferase",10.4166355917033
"S-Adenosyl-L-Methionine:Catechol O-Methyltransferase",1.0751634954149
"S-Adenosyl-L-Methionine:Catechol O-Methyltransferase",0
"S-Adenosyl-L-Methionine:Histamine N-Tele-Methyltransferase",0
"Sarcosine Oxidase, Peroxisomal",0
"Transport of Sarcosine",0
"Transport of Sarcosine, Mitochondrial",0
"Transport of Sarcosine, Peroxisomal",0
"Sarcosine Dehydrogenase, Mitochondrial",0
"Sphingoid Base-Phosphate Phosphatase (Sphinganine 1-Phosphatase), Endoplasmic Reticulum",2.88299346076942
"Sphingoid Base-Phosphate Phosphatase (Sphinganine 1-Phosphatase), Endoplasmic Reticulum",1.69945439962777
"D-Sorbitol Dehydrogenase (D-Fructose Producing)",74.3108547220817
"D-Sorbitol Reductase",74.3108547220889
"Sterol Carrier Protein 2",0
"Sterol Carrier Protein 2",-826.857001329951
"Peroxisomal Thiolase 2",0
"Peroxisomal Thiolase 2",0
"Ser/Thr Transport (from Golgi to Lysosome)",-0.178103966927583
"L-Alanine/L-Serine Na-Dependent Exchange (Ser-L In)",105.522386393899
"L-Serine/L-Asparagine Na-Dependent Exchange (Ser-L In)",214.672113526365
"L-Serine/L-Cysteine Na-Dependent Exchange (Ser-L In)",0
"D-Serine/Glutamine Reversible Antiport",0
"D-Serine/Glycine Reversible Antiport",0
"L-Serine/Glutamine Reversible Antiport",0
"L-Serine/L-Glutamine Na-Dependent Exchange (Ser-L In)",0
"L-Serine/Glycine Reversible Antiport",0
"L-Serine Hydro-Lyase",0
"Serine/Lysine Na-Dependent Exchange (Ser In)",0
"Serine C-Palmitoyltransferase",13.1322276409117
"L-Serine via Sodium Symport",120.51510807586
"L-Serine/L-Threonine Na-Dependent Exchange (Ser-L In)",0
"Serine Transport (Na, H Coupled)",0
"L-Serine Transport, Peroxisomal",0
"S-Formylglutathione Hydralase",0
"Transport of Sulfatide Galactocerebroside",-1.99375483082042
"Transport of Sulfatide Galactocerebroside",0
"Sphingosine-1-Phosphate Lyase",0
"Sialidase, Lysosomal",0
"Sialidase, Lysosomal",0.0799937961973027
"Sialidase, Lysosomal",0.0608197545653751
"Sialidase, Lysosomal",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase, Golgi Apparatus",0
"Lactosylceramide Alpha-2, 3-Sialyltransferase, Golgi Apparatus",0
"Citrulline Sink",0
"Glycophosphatidylinositol (Gpi)-Anchored Protein Precursor Sink",-0.173665898833224
"Sphingolipid Long Chain Base Kinase (Sphinganine)",7.24638944978627
"L-Sulfolactate Transport (Cytosol to Extracellular)",0
"L-Sulfolactate Dehydrogenase (NAD+)",0
"Sphingomyelin Phosphodiesterase 3, Neutral Membrane (Neutral Sphingomyelinase Ii)",0
"Sphingomyelin Phosphodiesterase 3, Neutral Membrane (Neutral Sphingomyelinase Ii)",0.240925405032732
"Sphingomyelinase",0
"Sphingomyelin Synthase (Homo Sapiens)",8.14955734185736
"Sulfate Transport via Chloride Antiport (2:1)",0
"Sulfate Transport via Bicarbonate Antiport",0
"Sulfate Transport via Oxalate Antiport (2:1)",0
"Sulfate Transport via Sodium Symport",0
"Sulfate Transport, Lysosomal",3.0993761375166
"Sterol O-Acyltransferase (Acyl-Coenzyme A: Cholesterol Acyltransferase) 1",0.136572312831002
"Sphingosylphosphorylcholine Transport (Diffusion)",0
"Transport of (2S,3R)-2-Azaniumyl-3-Hydroxyoctadecyl Phosphate",0
"Transport of (2S,3R)-2-Azaniumyl-3-Hydroxyoctadecyl Phosphate",2.88299346077023
"Sphinganine Intracellular Transport",2.88299346076797
"Sphingosine Intracellular Transport",-0.240925405032551
"Sphingosine Intracellular Transport",-1.69945439962651
"Sphingosine Kinase 2",3.91491267214853
"Sphingomyelin Deacylase",0
"Sphingomyelin Intracellular Transport",0
"Sphingomyelin Intracellular Transport",0.24092540503285
"Sphingosine-1-Phosphate Transport",0
"Sphingosine-1-Phosphate Transport",1.69945439962741
"Spermidine: (Acceptor) Oxidoreductase",1.06915183769818
"Superoxide Dismutase, Extracellular",0
"Superoxide Dismutase",2.66220167119406
"Superoxide Dismutase, Nuclear",0.257935380800968
"Superoxide Dismutase, Peroxisome",0.371401080506249
"Sepiapterin Reductase",0.264120285380303
"Spermine Synthase",2.48567646156894
"Serine-Pyruvate Aminotransferase (Irreversible), Peroxisomal",0
"Squalene Epoxidase, Endoplasmic Reticular (NADP)",2.15804252030753
"Squalene Synthase",17.6279112259669
"3-Oxo-5-Alpha-Steroid 4-Dehydrogenase",0
"3-Oxo-5-Alpha-Steroid 4-Dehydrogenase",0
"Acetyl Coenzyme A:Aralkylamine N-Acetyltransferase",0
"Seratonin Reversible Transport in via Sodium Symport/Potassium Antiport (1:2)",0
"Serotonin Uniport",0
"CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus",0.645408790012492
"CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus",0
"CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus",0
"St3 Beta-Galactoside Alpha-2, 3-Sialyltransferase 3",0
"Type 2 Lactosamine Alpha-2, 3-Sialyltransferase",0
"Type 2 Lactosamine Alpha-2, 3-Sialyltransferase",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2",0
"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 3",0.645408790013184
"Sialytransferase 7 ( (Alpha-N-Acetylneuraminyl 2, 3-Betagalactosyl-1, 3)-N-Acetyl Galactosaminide Alpha-2, 6-Sialytransferase) F",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Beta-Galactoside Alpha-2, 3-Sialyltransferase",0
"Alpha-2, 8-Sialyltransferase 8E",0
"Fatty Acid Intracellular Transport",0
"Carnitine O-Palmitoyltransferase",-9.5348378933332
"Carnitine Transferase",-9.53483789333171
"Transport into the Mitochondria (Carnitine)",-9.53483789333271
"Fatty Acid Transport via Diffusion",0
"Steryl-Sulfatase",0
"Steryl-Sulfatase",0
"Steryl-Sulfatase",0
"Steryl-Sulfatase",0
"Succinate Transport, Mitochondrial",-893.522192244569
"Succinate Transport via Sodium Symport",-316.5142546015
"Succinate Transporter, Peroxisome",-3.17090715544048
"Succinate Dehydrogenase",62.7268392135213
"Succinate- Coenzyme A Ligase (GDP-Forming)",-360.851391554528
"Succinate- Coenzyme A Ligase (ADP-Forming)",0
"Sucrose Hydrolyzing Enxyme, Extracellular",0
"Sulfite Oxidase",0
"4-Hydroxycinnamate Formation",0.0802046990683638
"D-Tagatose Uptake via Diffusion",0
"Triacylglycerol Transport",0
"Taurine Transport (Sodium Symport) (2:1)",0
"Taurine Transport (Sodium Symport) (Cytosol to Peroxisome)",0
"Transport of Xenobiotic",0
"Taurocholate Transport via Bicarbonate Antiport",0
"Taurocholate Transport via Sodium Symport",0
"Bile Acid Intracellular Transport",0
"Bile Acid Intracellular Transport",0
"Thiocyanate Transport via Diffusion (Cytosol to Extracellular)",0
"Thiocyanate Transport via Diffusion, Mitochondrial",0
"Bile Acid Intracellular Transport",0
"Bile Acid Intracellular Transport",0
"Thiamin Pyrophosphatase",0
"Thiamin Pyrophosphatase, Mitochondrial",0
"Fatty Acid Intracellular Transport",0
"Fatty Acid Transport via Diffusion",0
"Fatty Acid Intracellular Transport",0
"Carnitine O-Palmitoyltransferase",806.003540059127
"Carnitine Transferase",806.003540059106
"Transport into the Mitochondria (Carnitine)",806.003540059088
"Fatty Acid Transport via Diffusion",0
"Fatty Acid Intracellular Transport",0
"Carnitine O-Palmitoyltransferase",865.821214945168
"Carnitine Transferase",865.821214945149
"Transport into the Mitochondria (Carnitine)",865.821214945169
"Fatty Acid Transport via Diffusion",0
"Fatty Acid Intracellular Transport",0
"Carnitine O-Palmitoyltransferase",-967.86149011953
"Carnitine Transferase",-967.861490119532
"Transport into the Mitochondria (Carnitine)",-967.861490119529
"Fatty Acid Transport via Diffusion",0
"Tetrahydrobiopterin-4A-Carbinolamine Dehydratase",0
"Lipid, Flip-Flop Intracellular Transport",0
"NAD (P) Transhydrogenase",0
"Tetrahydrofolate Transport via Anion Antiport",0
"5, 6, 7, 8-Tetrahydrofolate Transport, Diffusion, Lysosomal",0
"5, 6, 7, 8-Tetrahydrofolate Transport, Diffusion, Mitochondrial",0
"Thymidine Transport in via Sodium Symport",0
"Thiamine Monophosphate Transport in via Anion Antiport",0
"Thiamine Monophosphate Transport, Mitochondrial",0
"Thiamin Phosphatase",0
"Thiamine Diphosphate Transport in via Anion Antiport, Mitochondria",0
"Thiamine Transport in via Proton Symport, Mitochondrial",0
"Thiamine-Triphosphatase",0
"Thiamine Triphosphate Transport in via Anion Antiport",0
"2, 3, 4, 5-Tetrahydropyridine-2-Carboxylate Transport, Peroxisomal",0
"L-Alanine/L-Threonine Na-Dependent Exchange (Thr-L In)",0
"L-Threonine/L-Asparagine Na-Dependent Exchange (Thr-L In)",68.4241708205804
"L-Cysteine/L-Threonine Na-Dependent Exchange (Thr-L In)",0
"L-Threonine/Glycine Reversible Antiport",0
"L-Threonine/L-Glutamine Na-Dependent Exchange (Thr-L In)",0
"L-Threonine/Glycine Reversible Antiport",0
"L-Serine/L-Threonine Na-Dependent Exchange (Thr-L In)",0
"L-Threonine via Sodium Symport",346.543914604702
"Thymd Transport",0
"Thymidine Faciliated Transport from Lysosome",2.36756639373682
"Thymd Transport",0
"Thymine Reversible Transport via Faciliated Diffusion",0
"T4 Transport via Bicarbonate Antiport",0
"T4 Transport via Facilitated Diffusion",0
"Thyroid Peroxidase",0
"4-Trimethylaminobutyraldehyde Dehydrogenase",0.516489911635888
"Thymidine Kinase (ATP:Thymidine)",0
"Thymidine Phosphorylase",0
"Thiamine-Diphosphate Kinase",0
"Trimethyllysine Dioxygenase",0.516489911634797
"Fatty Acid Intracellular Transport",-0.457434170555125
"Carnitine O-Palmitoyltransferase",3.643361741768
"Carnitine Transferase",3.64336174176586
"Transport into the Mitochondria (Carnitine)",0
"Fatty Acid Transport via Diffusion",0
"Transport of Xenobiotic",0
"Thioredoxin Reductase (NADPH)",3.89913399428265
"Thioredoxin (Ubiquinone 10) Reductase (NADPH)",12.7460170622471
"Thioredoxin (Ubiquinone 10) Reductase (NADH)",6.67613062793791
"Alpha, Alpha-Trehalase",0
"Alpha, Alpha-Trehalase",0
"Triiodothyronine Sulfate Transport (Diffusion)",0
"Triiodothyronine Sulfotransferase",0
"T3 Transport via Bicarbonate Antiport",0
"T3 Transport via Facilitated Diffusion",0
"Triokinase",688.730816221357
"L-Tryptophan, Tetrahydrobiopterin:Oxygen Oxidoreductase (5-Hydroxylating)",0
"L-Tryptophan:Oxygen 2, 3-Oxidoreductase (Decyclizing)",0
"L-Tryptophan Transport in via Sodium Symport",0
"Tryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",15.1793747609859
"Tachysterol 3 Formation",0
"Glucuronidated Compound Transport",0
"Glucuronidated Compound Transport",0
"Sulfonated Testosterone Transport",0
"Testosterone Sulfotransferase",0
"Testosterone Transport",0
"Testosterone Intracellular Transport",0
"Thiosulfate Transport via Sodium Symport",-5.20261278431548
"Tetradecanoate (Transport)",0
"Carnitine Transferase",0
"Transport into the Mitochondria (Carnitine)",0
"Thromboxane A2 Transport",0
"Thromboxane A2 Intracellular Transport",0
"Thromboxane-A Synthase",0
"Tyramine O-Sulfate Transport (Diffusion)",0
"Tyramine Sulfotransferase",0
"Tyrosine 3-Monooxygenase",0
"Tyrosinase",0
"L-Tyrosine Carboxy-Lyase",13.9148638205402
"Tyrosine:Dopa Oxidase",0
"Tyrosine:Dopa Oxidase (Dopaquinone Producing 2)",0
"Tyramine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing) (Cytosol)",0
"L-Tyrosine Transport",0
"L-Tyrosine Transport in via Sodium Symport",0
"Tyrosine Transaminase, Mitochondrial",0.0802046990643285
"UDP-N-Acetyl-D-Glucosamine 2-Epimerase (Hydrolysis)",2.16176839961404
"UDP-N-Acetylgalactosamine Diphosphorylase",10.7205233514955
"UDPacgal Intracellular Transport",-0.178103966927083
"UDPglucose:Dolichyl-Phosphate Beta-D-Glucosyltransferase (Liver)",0
"UDPglucuronate Uridine-Monophosphohydrolase",0
"UDP-Gal Golgi Transport via CMP Antiport",4.75756521094186
"UDPglucose 6-Dehydrogenase",38.1549501656568
"UDPglca Endoplasmic Reticulum Transport via UMP Antiport",0
"UDPglca Golgi Transport via UMP Antiport",-2.0268590024476
"UDP-Glc Endoplasmic Reticulum Transport via CMP Antiport",0.354457989517064
"UDP-D-Glucuronate Decarboxylase, Golgi Apparatus",0.34873071946372
"UDPglucuronate Uridine-Diphosphohydrolase",0
"UDPglucose Pyrophosphohydrolase",0
"UDP Intracellular Transport",0.178103966927655
"UDP-Xyl Endoplasmic Reticular Transport via CMP Antiport",0.348730719462609
"UDP-Xyl Golgi Transport via CMP Antiport",-0.348730719462608
"UDPgalactose:D-Glucose 4-Beta-D-Galactosyltransferase, Golgi Apparatus",1.15409024425436
"UDP-Galnac Golgi Transport via CMP Antiport",1.72843898250478
"Ceramide Glucosyltransferase",0.35445798951659
"UDP-GlcNac Golgi Transport via CMP Antiport",1.66284817728189
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",-21.1966447125145
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",1.45575639910841
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal (13-Cis)",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",0
"UMP Kinase (CTP)",55.1353847201811
"UMP Kinase (CTP), Nuclear",800.292520888884
"UMP Kinase (UTP)",940.776500381147
"UMP Kinase (UTP), Nuclear",-860.692889748363
"UMP Kinase (GTP)",-453.67903354104
"UMP Kinase (GTP), Nuclear",-973.627635604902
"UMP Kinase (dATP)",-920.618194924117
"UMP Kinase (dATP), Nuclear",949.785290421757
"UMP Kinase (dCTP)",-943.267223657349
"UMP Kinase (dCTP), Nuclear",25.0995883699353
"UMP Kinase (dGTP)",374.757764030434
"UMP Kinase (dGTP), Nuclear",961.190962907071
"UMP Kinase, Nuclear",-896.017790187952
"UMP Transport, Endoplasmatic Reticulum",0
"B-Ureidopropionase",0
"Uracil Transport via Faciliated Diffusion",0
"Urate Export from Cytosol",0
"Urate Export from Peroxisome",0
"Urea, Water Symport",0
"Urea Transport via Diffusion",0
"Uridylate Kinase (dUMP), Mitochondrial",3.59775378108441
"Uridine Kinase (ATP:Uridine)",12.7992832648066
"Uridine Faciliated Transport in Cytosol",1.77650335489018
"Uridine Transport in via Sodium Symport",0
"Uridine Faciliated Transport from Lysosome",2.12216096384098
"Uridine Transport in Nucleus",0
"Uronolactonase, Endoplasmic Reticulum",0
"UTP Diffusion in Nucleus",1.12646514011801
"Fatty Acid Transport via Diffusion",-0.849931661099717
"L-Valine Transport in via Sodium Symport",0
"Valine Reversible Mitochondrial Transport",8.83303584658624
"Valine Transaminase, Mitochondiral",8.8330358465851
"L-Valine Transport via Diffusion (Extracellular to Cytosol)",0
"Vitamin D3 Formation",0
"Vitamin D3 Release",0
"Very-Long-Chain-Fatty-Acid Coenzyme A Ligase",0
"Very-Long-Chain-Fatty-Acid Coenzyme A Ligase",0
"Very-Long-Chain-Fatty-Acid Coenzyme A Ligase",0
"Very-Long-Chain-Fatty-Acid Coenzyme A Ligase",0
"Transport of Xenobiotic",0
"Transport of Xenobiotic",0
"Omega Hydroxy Testosterone Transport",0
"Transport of Xenobiotic",0
"Xanthine Dehydrogenase, Peroxisomal",0
"Xanthine Diffusion in Peroxisome",0
"Xanthine Oxidase",0
"Xanthine Oxidase, Peroxisomal",0
"27 Hydroxy Cholesterol Transport",-4.29359140604736
"Lipid, Flip-Flop Intracellular Transport",-3.49029214429265
"Lipid, Flip-Flop Intracellular Transport",0
"Lipid, Flip-Flop Intracellular Transport",0
"Cholesterol Ester Transporter",-2.19597440089777
"Cholesterol Ester Transporter",-0.136572312831557
"24 Trihydroxy Cholesterol Transport",0
"24 Trihydroxy Cholesterol Transport",0
"25 Trihydroxy Cholesterol Transport",0
"25 Trihydroxy Cholesterol Transport",0
"27 Trihydroxy Cholesterol Transport",0
"27 Trihydroxy Cholesterol Transport",0
"Lipid, Flip-Flop Intracellular Transport",0
"Xyl-L-Ser (Protein) Transport from Endoplasmic Reticulum to Golgi Apparatus",0.812488630184212
"Xylulokinase",0
"Xylitol Dehydrogenase (D-Xyulose-Forming)",160.184026788161
"UDP-Xylose:Protein Xylosyltransferase, Endoplasmic Reticulum",0.81248863018421
"Xylose Efflux from Lysosome",0.604577380937472
"Xylitol Transport via Passive Diffusion",159.305109437643
"Xylulose Reductase",-960.257024682989
"Gamma-Tocopherol (Vit. E) Transport",0
"Exchange of 4-Ammoniobutanal",0
"Exchange of N-Acetyl-D-Mannosamine",0
"Exchange of 7, 8-Dihydroneopterin 3-Triphosphate",0
"Exchange of CTP",0
"Exchange of dGMP",0
"Exchange of dGTP",0
"Exchange of Glycerone",0
"Exchange of Glycerone Phosphate",0
"Exchange of dTMP",0
"Exchange of dTTP",0
"Exchange of Flavin Adenine Dinucleotide Oxidized",0
"Exchange of Formaldehyde",0
"Exchange of Alpha-D-Glucose 1-Phosphate",0
"Exchange of Isomaltose",0
"Exchange of Hydrosulfide",0
"Exchange of 4-Nitrophenyl Phosphate",0
"Exchange of Dihydroneopterin",0
"Exchange of 3-Keto-Beta-D-Galactose",0
"Exchange of Lactose-6P",0
"Exchange of Galactosylglycerol",0
"Exchange of 3-Ketolactose",0
"Exchange of Gamma-Glutamyl-Beta-Cyanoalanine",0
"Exchange of Uroporphyrinogeni",0
"Exchange of Coproporphyrinogeni",0
"Exchange of Gamma-Glutamyl-3-Aminopropiononitrile",0
"Exchange of Gm2-Pool",258.892066738126
"Exchange of Gm1-Pool",-258.892066738122
"Exchange of ITP",0
"Exchange of Orotate",0
"Exchange of 5-O-Phosphonato-Alpha-D-Ribofuranosyl Diphosphate",-1.05118180830953
"Exchange of Pyridoxal 5-Phosphate",0
"Exchange of [ (2R, 3S, 4R, 5R)-5- (2, 4-Dioxo-1, 2, 3, 4-Tetrahydropyrimidin-1-Yl)-3, 4-Dihydroxyoxolan-2-Yl]Methyl {[ (3R, 4S, 5S, 6R)-3, 4, 5-Trihydroxy-6- (Hydroxymethyl)Oxan-2-Yl Phosphonato]Oxy}Phosphonate",0
"Active Transport",-5.12039559787871
"Pyrophosphate Phosphohydrolase",1.79871128253794
"Beta-N-Acetylhexosaminidase",0
